Customer,CustomerName,Branch,BranchName,Month,MonthName,MonthRevenue,MonthPct,Tier,Pattern,YearsActive,YearsBought,ActiveMonths,ServiceType,Y2023,Y2024,Y2025,TotalRevenue,LastService,TotalInvoices,Equipment,MachineCount
39970,Guernsey Co Highway,1,Cambridge,3,March,29922.68,58.1,STRONG,Year-Round,3,2023/2024/2025,"Mar, Apr, Jun, Aug, Sep, Oct, Nov, Dec",Customer Labor,6329.35,27738.02,17477.34,51544.71,2025-10-08,12,"Case 865B, Case 580SMPLUS, Case 721C",8
67318,Guard Drilling Mud Disposal,1,Cambridge,3,March,8982.6,95.1,STRONG,Year-Round,2,2023/2025,"Jan, Feb, Mar, Apr, Oct, Nov",Customer Labor,9447.53,0.0,5.684341886080804e-14,9447.53,2025-03-22,10,"Kobelco SK140SRLC-5, Kobelco SK140SRLC-5, JLG 1255",6
12915,Bandit Energy Services Inc,1,Cambridge,3,March,6756.92,66.7,GOOD,Seasonal,1,2025,"Mar, Sep, Nov",Customer Labor,0.0,1595.91,8533.66,10129.57,2025-11-24,3,Case 850K,1
20324,Cambridge Sewer Dept,1,Cambridge,3,March,4463.51,29.5,GOOD,Year-Round,1,2025,"Jan, Feb, Mar, May, Jun, Aug, Dec",Customer Labor,1758.11,347.2,13034.22,15139.53,2025-08-07,9,"Case 450SSL, Case 580SM2, Case 580SM",6
39736,Guernsey Scrap Recycling,1,Cambridge,3,March,3435.27,22.6,GOOD,Year-Round,1,2025,"Jan, Feb, Mar, May, Jul, Aug, Sep, Nov",Customer Labor,2350.72,5803.32,7016.48,15170.52,2025-05-29,14,"Case 721DXT, Kobelco SK290VI, Case 821F",8
14432,Belmont Co Engineer,1,Cambridge,3,March,2524.67,58.8,GOOD,Year-Round,1,2023,"Mar, Apr, May, Oct, Dec",Customer Labor,3369.51,704.0699999999999,216.68,4290.26,2025-05-16,6,"Kobelco SK160VI, Case 580SN",2
20314,Cambridge Water Dept,1,Cambridge,3,March,2349.9,22.2,GOOD,Year-Round,1,2023,"Feb, Mar, May, Aug, Nov",Customer Labor,5994.35,3023.82,1560.06,10578.23,2025-02-11,6,"Case 580SM2, Case 580SN, KT KF9TLBA",4
34759,R & R Biproducts Inc,1,Cambridge,3,March,2166.74,11.2,STRONG,Year-Round,2,2023/2024,"Jan, Feb, Mar, Jun, Jul, Aug, Sep, Oct",Customer Labor,2343.53,8378.93,8622.64,19345.1,2025-10-28,22,"Case 621F, Kobelco SK170LC-11, Case 621F",9
49883,J & S Maintenance Co Llc,1,Cambridge,3,March,1932.52,15.8,GOOD,Seasonal,1,2024,"Mar, May, Jul, Sep",Customer Labor,4020.83,4150.719999999999,4074.13,12245.68,2025-07-09,11,"JLG 600AJJ, Case 221F, Schwarze A7000",6
14482,Belmont Co Warren Twp,1,Cambridge,3,March,1703.9799999999998,18.8,GOOD,Seasonal,1,2025,"Mar, May, Dec",Customer Labor,0.0,9071.46,0.0,9071.46,2025-05-13,3,Case 621D,1
47689,Intercon Construction,1,Cambridge,3,March,1562.23,29.3,GOOD,Seasonal,1,2023,"Mar, Jul, Aug",Customer Labor,1562.23,3778.54,0.0,5340.77,2024-08-05,3,"Case CX210, Case CX210",2
20300,Cambridge Utility Dept,1,Cambridge,3,March,1426.0400000000002,38.3,GOOD,Seasonal,1,2023,"Mar, Jul, Dec",Customer Labor,1426.0400000000002,2296.6800000000003,0.0,3722.72,2024-12-23,3,"VA FC80, Case 321F, Case 321F",4
59301,Luburgh Inc,1,Cambridge,3,March,1391.66,13.5,STRONG,Year-Round,2,2023/2024,"Feb, Mar, May, Jul, Oct",Customer Labor,2660.55,3011.86,4664.12,10336.53,2025-10-23,9,"Kobelco SK500LC-9, Kobelco SK350LC-9, Bomag BW213PDH3",8
30004,Expand Energy,1,Cambridge,3,March,1333.93,30.4,GOOD,Seasonal,1,2024,"Mar, Nov, Dec",Customer Labor,2112.63,1333.93,946.16,4392.72,2025-11-07,3,"Kubota SVL95-2SHFC, FP GENERAC",2
3012516,City Of Coshocton Waste Water,1,Cambridge,3,March,1244.42,24.1,GOOD,Concentrated,1,2025,"Feb, Mar",Outside Labor,0.0,3199.34,1959.27,5158.610000000001,2025-03-17,3,"Case SR270, Case CX60C",2
39732,Guernsey Co Jefferson Twp,1,Cambridge,3,March,893.7199999999999,20.9,GOOD,Seasonal,1,2023,"Jan, Mar, May, Oct",Customer Labor,2946.41,1335.63,0.0,4282.04,2024-10-18,4,"Case 580SK#, Case 580SK#, FD F550",6
